z,n,name,levelEnergy(MeV),decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,halflife,halflifeUnit,halflifeUncertainty
39,51,90Y,0,B-,100,,-8.64E+4,3.54E-1,64.046,h,0.049
39,51,90Y,0.68201,IT,99.9982,0.0002,-8.58e+04,3.54e-01,3.232,h,0.01
39,51,90Y,0.68201,B-,0.0018,0.0002,-8.58e+04,3.54e-01,3.232,h,0.01
39,54,93Y,0,B-,100,,-8.42E+4,1.04E+1,10.17,h,0.08
39,54,93Y,0.758719,IT,100,,-8.35e+04,1.05e+01,0.82,s,0.04
39,53,92Y,0,B-,100,,-8.48E+4,9.12,3.54,h,0.01
39,56,95Y,0,B-,100,,-8.12E+4,6.77,10.4,m,0.1
39,55,94Y,0,B-,100,,-8.23E+4,6.38,18.7,m,0.1
39,47,86Y,0,EC+B+,100,,-7.92E+4,1.41E+1,14.74,h,0.02
39,47,86Y,0.21821000000000002,IT,99.31,0.04,-7.91e+04,1.41e+01,47.4,m,0.4
39,47,86Y,0.21821000000000002,EC+B+,0.69,0.04,-7.91e+04,1.41e+01,47.4,m,0.4
39,46,85Y,0,EC+B+,100,,-7.78E+4,1.89E+1,2.67,h,0.05
39,46,85Y,0.01968,EC+B+,100,,-7.78e+04,1.90e+01,4.9,h,0.1
39,49,88Y,0,EC+B+,100,,-8.42E+4,1.50,106.626,d,0.02
39,48,87Y,0,EC+B+,100,,-8.30E+4,1.12,79.89,h,0.25
39,48,87Y,0.38082,IT,98.43,0.11,-8.26e+04,1.13e+00,13.38,h,0.03
39,48,87Y,0.38082,EC+B+,1.57,0.11,-8.26e+04,1.13e+00,13.38,h,0.03
39,41,80Y,0,EC+B+,100,,-6.11E+4,6.24,30.1,s,0.5
39,41,80Y,0,ECP,,,-6.11E+4,6.24,30.1,s,0.5
39,41,80Y,0.2285,IT,81,2,-6.09e+04,6.24e+00,4.8,s,0.3
39,41,80Y,0.2285,EC+B+,19,2,-6.09e+04,6.24e+00,4.8,s,0.3
39,41,80Y,0.2285,ECP,,,-6.09e+04,6.24e+00,4.8,s,0.3
39,40,79Y,0,EC+B+,100,,-5.78E+4,8.01E+1,14.8,s,0.6
39,40,79Y,0,ECP,,,-5.78E+4,8.01E+1,14.8,s,0.6
39,43,82Y,0,EC+B+,100,,-6.80E+4,5.49,8.3,s,0.2
39,42,81Y,0,EC+B+,100,,-6.57E+4,5.40,70.4,s,1.0
39,45,84Y,0,EC+B+,100,,-7.38E+4,4.29,40.1,m,1.1
39,45,84Y,0.067,EC+B+,100,,-7.38e+04,4.30e+00,4.6,s,0.2
39,44,83Y,0,EC+B+,100,,-7.22E+4,1.86E+1,7.08,m,0.06
39,44,83Y,0.06204,EC+B+,60,5,-7.21e+04,1.86e+01,2.85,m,0.02
39,44,83Y,0.06204,IT,40,5,-7.21e+04,1.86e+01,2.85,m,0.02
39,38,77Y,0,EC+B+,,,-4.64E+4,2.03E+2,57,ms,+22-12
39,38,77Y,0,ECP,,,-4.64E+4,2.03E+2,57,ms,+22-12
39,38,77Y,0,P,,,-4.64E+4,2.03E+2,57,ms,+22-12
39,37,76Y,0,EC+B+,,,-3.82E+4,3.00E+2,24,ms,+12-6
39,37,76Y,0,P,,,-3.82E+4,3.00E+2,24,ms,+12-6
39,37,76Y,0,ECP,,,-3.82E+4,3.00E+2,24,ms,+12-6
39,39,78Y,0,EC+B+,100,,-5.21E+4,2.98E+2,50,ms,3
39,39,78Y,0,ECP,,,-5.21E+4,2.98E+2,50,ms,3
39,39,78Y,0+X,EC+B+,100,,-5.21E+4,2.98E+2,5.8,s,0.6
39,39,78Y,0+X,ECP,,,-5.21E+4,2.98E+2,5.8,s,0.6
40,69,109Zr,0,B-,100,,-4.57E+4,5.00E+2,56,ms,3
40,69,109Zr,0,B-N,,,-4.57E+4,5.00E+2,56,ms,3
40,69,109Zr,0,B-2N,,,-4.57E+4,5.00E+2,56,ms,3
40,68,108Zr,0,B-,100,,-5.09E+4,4.00E+2,77.4,ms,2.2
40,68,108Zr,0,B-N,,,-5.09E+4,4.00E+2,77.4,ms,2.2
40,67,107Zr,0,B-,100,,-5.40E+4,3.00E+2,146,ms,4
40,67,107Zr,0,B-N,23,,-5.40E+4,3.00E+2,146,ms,4
40,66,106Zr,0,B-,100,,-5.87E+4,2.00E+2,178,ms,6
40,66,106Zr,0,B-N,7,,-5.87E+4,2.00E+2,178,ms,6
40,61,101Zr,0,B-,100,,-7.31E+4,8.33,2.32,s,0.07
40,60,100Zr,0,B-,100,,-7.63E+4,8.14,7.1,s,0.4
40,65,105Zr,0,B-,100,,-6.14E+4,1.21E+1,670,ms,28
40,65,105Zr,0,B-N,2,,-6.14E+4,1.21E+1,670,ms,28
40,64,104Zr,0,B-,100,,-6.57E+4,9.31,922,ms,28
40,64,104Zr,0,B-N,1,,-6.57E+4,9.31,922,ms,28
40,63,103Zr,0,B-,100,,-6.78E+4,9.22,1.38,s,0.072
40,63,103Zr,0,B-N,1,,-6.78E+4,9.22,1.38,s,0.072
40,62,102Zr,0,B-,100,,-7.15E+4,8.75,2.01,s,0.08
40,58,98Zr,0,B-,100,,-8.12E+4,8.44,30.7,s,0.4
40,57,97Zr,0,B-,100,,-8.29E+4,1.21E-1,16.749,h,0.008
40,56,96Zr,0,2B-,100,,-8.54E+4,1.14E-1,2.29e+19,y,1.91e+18-1.91e+18
40,55,95Zr,0,B-,100,,-8.56E+4,8.69E-1,64.032,d,0.006
40,59,99Zr,0,B-,100,,-7.76E+4,1.04E+1,2.1,s,0.1
40,50,90Zr,2.319,IT,100,,-8.65e+04,1.18e-01,809.2,ms,2.0
40,53,93Zr,0,B-,100,,-8.71E+4,4.56E-1,1.61e+06,y,5.14e+04
40,47,87Zr,0,EC+B+,100,,-7.93E+4,4.14,1.68,h,0.01
40,47,87Zr,0.33583999999999997,IT,100,,-7.90e+04,4.15e+00,14,s,0.2
40,46,86Zr,0,EC+B+,100,,-7.79E+4,3.56,16.5,h,0.1
40,45,85Zr,0,EC+B+,100,,-7.31E+4,6.43,7.86,m,0.04
40,45,85Zr,0.2922,EC+B+,,,-7.29e+04,6.43e+00,10.9,s,0.3
40,45,85Zr,0.2922,IT,100,,-7.29e+04,6.43e+00,10.9,s,0.3
40,44,84Zr,0,EC+B+,100,,-7.14E+4,5.49,26,m,0.6
40,49,89Zr,0,EC+B+,100,,-8.48E+4,2.78,78.364,h,0.015
40,49,89Zr,0.58782,IT,93.77,0.12,-8.43e+04,2.78e+00,4.161,m,0.012
40,49,89Zr,0.58782,EC+B+,6.23,0.12,-8.43e+04,2.78e+00,4.161,m,0.012
40,48,88Zr,0,EC,100,,-8.36E+4,5.40,83.4,d,0.3
40,43,83Zr,0,EC+B+,100,,-6.59E+4,6.43,41.5,s,2.1
40,43,83Zr,0,ECP,,,-6.59E+4,6.43,41.5,s,2.1
40,42,82Zr,0,EC+B+,100,,-6.36E+4,1.58,32,s,5
40,42,82Zr,0,ECP,,,-6.36E+4,1.58,32,s,5
40,41,81Zr,0,EC+B+,100,,-5.75E+4,9.22E+1,5,s,0.2
40,41,81Zr,0,ECP,0.12,0.02,-5.75E+4,9.22E+1,5,s,0.2
40,40,80Zr,0,EC+B+,100,,-5.47E+4,3.00E+2,4.6,s,0.6
40,40,80Zr,0,ECP,,,-5.47E+4,3.00E+2,4.6,s,0.6
40,39,79Zr,0,EC+B+,100,,-4.67E+4,3.00E+2,56,ms,30
40,39,79Zr,0,ECP,,,-4.67E+4,3.00E+2,56,ms,30
40,38,78Zr,0,EC+B+,,,-4.08E+4,4.00E+2,,,
40,38,78Zr,0,ECP,,,-4.08E+4,4.00E+2,,,
40,37,77Zr,0,EC+B+,,,-3.16E+4,4.00E+2,,,
40,37,77Zr,0,ECP,,,-3.16E+4,4.00E+2,,,
40,37,77Zr,0,P,,,-3.16E+4,4.00E+2,,,
40,72,112Zr,0,B-,100,,-3.24E+4,7.00E+2,30,ms,+30-10
40,72,112Zr,0,B-N,,,-3.24E+4,7.00E+2,30,ms,+30-10
40,72,112Zr,0,B-2N,,,-3.24E+4,7.00E+2,30,ms,+30-10
40,71,111Zr,0,B-,100,,-3.64E+4,6.00E+2,24,ms,5
40,71,111Zr,0,B-N,,,-3.64E+4,6.00E+2,24,ms,5
40,71,111Zr,0,B-2N,,,-3.64E+4,6.00E+2,24,ms,5
40,70,110Zr,0,B-,100,,-4.22E+4,5.00E+2,37.6,ms,1.7
40,70,110Zr,0,B-N,,,-4.22E+4,5.00E+2,37.6,ms,1.7
40,70,110Zr,0,B-2N,,,-4.22E+4,5.00E+2,37.6,ms,1.7
40,73,113Zr,0,B-,100,,-2.63E+4,3.00E+2,,,
40,73,113Zr,0,B-N,,,-2.63E+4,3.00E+2,,,
40,73,113Zr,0,B-2N,,,-2.63E+4,3.00E+2,,,
41,73,114Nb,0,B-,100,,-3.49E+4,5.00E+2,17,ms,5
41,73,114Nb,0,B-N,,,-3.49E+4,5.00E+2,17,ms,5
41,73,114Nb,0,B-2N,,,-3.49E+4,5.00E+2,17,ms,5
41,72,113Nb,0,B-,100,,-4.02E+4,4.00E+2,32,ms,4
41,72,113Nb,0,B-N,,,-4.02E+4,4.00E+2,32,ms,4
41,72,113Nb,0,B-2N,,,-4.02E+4,4.00E+2,32,ms,4
41,71,112Nb,0,B-,100,,-4.40E+4,3.00E+2,38,ms,2
41,71,112Nb,0,B-N,,,-4.40E+4,3.00E+2,38,ms,2
41,71,112Nb,0,B-2N,,,-4.40E+4,3.00E+2,38,ms,2
41,70,111Nb,0,B-,100,,-4.89E+4,3.00E+2,54,ms,2
41,70,111Nb,0,B-N,,,-4.89E+4,3.00E+2,54,ms,2
41,70,111Nb,0,B-2N,,,-4.89E+4,3.00E+2,54,ms,2
41,75,116Nb,0,B-,100,,-2.52E+4,3.00E+2,,,
41,75,116Nb,0,B-N,,,-2.52E+4,3.00E+2,,,
41,75,116Nb,0,B-2N,,,-2.52E+4,3.00E+2,,,
41,74,115Nb,0,B-,100,,-3.08E+4,5.00E+2,23,ms,8
41,74,115Nb,0,B-N,,,-3.08E+4,5.00E+2,23,ms,8
41,74,115Nb,0,B-2N,,,-3.08E+4,5.00E+2,23,ms,8
41,69,110Nb,0+X,B-,100,,-5.23E+4,8.38E+2,75,ms,1
41,69,110Nb,0+X,B-N,40,8,-5.23E+4,8.38E+2,75,ms,1
41,69,110Nb,0+X,B-2N,,,-5.23E+4,8.38E+2,75,ms,1
41,69,110Nb,0+X,B-,100,,-5.23E+4,8.38E+2,94,ms,9
41,69,110Nb,0+X,B-N,40,8,-5.23E+4,8.38E+2,94,ms,9
41,69,110Nb,0+X,B-2N,,,-5.23E+4,8.38E+2,94,ms,9
41,68,109Nb,0,B-,100,,-5.66E+4,4.30E+2,107,ms,5
41,68,109Nb,0,B-N,31,5,-5.66E+4,4.30E+2,107,ms,5
41,67,108Nb,0,B-,100,,-5.95E+4,8.23,194,ms,6
41,67,108Nb,0,B-N,6.3,0.5,-5.95E+4,8.23,194,ms,6
41,67,108Nb,0,B-2N,,,-5.95E+4,8.23,194,ms,6
41,62,103Nb,0,B-,100,,-7.50E+4,3.93,1.36,s,0.05
41,62,103Nb,0,B-N,,,-7.50E+4,3.93,1.36,s,0.05
41,61,102Nb,0,B-,100,,-7.62E+4,2.51,4.3,s,0.4
41,61,102Nb,0.093,B-,100,,-7.62e+04,2.51e+00,1.31,s,0.16
41,60,101Nb,0,B-,100,,-7.88E+4,3.74,7.2,s,0.2
41,66,107Nb,0,B-,100,,-6.37E+4,8.02,287,ms,8
41,66,107Nb,0,B-N,7.4,0.9,-6.37E+4,8.02,287,ms,8
41,65,106Nb,0,B-,100,,-6.62E+4,1.41,1.097,s,0.019
41,65,106Nb,0,B-N,4.8,0.3,-6.62E+4,1.41,1.097,s,0.019
41,64,105Nb,0,B-,100,,-6.99E+4,4.02,2.92,s,0.09
41,64,105Nb,0,B-N,1.7,0.9,-6.99E+4,4.02,2.92,s,0.09
41,63,104Nb,0,B-,100,,-7.18E+4,1.78,4.9,s,0.3
41,63,104Nb,0,B-N,0.06,0.03,-7.18E+4,1.78,4.9,s,0.3
41,63,104Nb,0.215,B-,100,,-7.16e+04,1.78e+00,0.98,s,0.05
41,63,104Nb,0.215,B-N,0.05,0.03,-7.16e+04,1.78e+00,0.98,s,0.05
41,59,100Nb,0,B-,100,,-7.97E+4,7.97,1.4,s,0.1
41,59,100Nb,0.314,B-,100,,-7.95e+04,7.98e+00,2.99,s,0.11
41,58,99Nb,0,B-,100,,-8.23E+4,1.20E+1,15,s,0.2
41,58,99Nb,0.36527,B-,96.2,,-8.20e+04,1.20e+01,2.5,m,0.1
41,58,99Nb,0.36527,IT,3.8,,-8.20e+04,1.20e+01,2.5,m,0.1
41,57,98Nb,0,B-,100,,-8.35E+4,5.00,2.86,s,0.06
41,57,98Nb,0.084,B-,99.8,,-8.34e+04,5.00e+00,51.1,m,0.3
41,57,98Nb,0.084,IT,0.2,,-8.34e+04,5.00e+00,51.1,m,0.3
41,56,97Nb,0,B-,100,,-8.56E+4,4.24,72.1,m,0.4
41,56,97Nb,0.7433500000000001,IT,100,,-8.49e+04,4.24e+00,58.7,s,1.8
41,51,92Nb,0,EC+B+,100,,-8.64E+4,1.78,3.47e+07,y,2.36e+06
41,51,92Nb,0.1355,EC+B+,100,,-8.63e+04,1.78e+00,10.12,d,0.02
41,50,91Nb,0,EC+B+,100,,-8.66E+4,2.92,680,y,130
41,50,91Nb,0.1046,IT,96.6,0.5,-8.65e+04,2.93e+00,60.86,d,0.22
41,50,91Nb,0.1046,EC+B+,3.4,0.5,-8.65e+04,2.93e+00,60.86,d,0.22
41,55,96Nb,0,B-,100,,-8.56E+4,1.47E-1,23.35,h,0.05
41,54,95Nb,0,B-,100,,-8.67E+4,5.08E-1,34.991,d,0.01
41,54,95Nb,0.23569,IT,94.4,0.6,-8.66e+04,5.08e-01,3.61,d,0.03
41,54,95Nb,0.23569,B-,5.6,0.6,-8.66e+04,5.08e-01,3.61,d,0.03
41,53,94Nb,0,B-,100,,-8.63E+4,1.49,2.04e+04,y,3.85e+02
41,53,94Nb,0.040892000000000005,IT,99.5,0.06,-8.63e+04,1.49e+00,6.263,m,0.004
41,53,94Nb,0.040892000000000005,B-,0.5,0.06,-8.63e+04,1.49e+00,6.263,m,0.004
41,52,93Nb,0.030760000000000003,IT,100,,-8.72e+04,1.49e+00,16.12,y,0.12
41,48,89Nb,0,EC+B+,100,,-8.06E+4,2.36E+1,2.03,h,0.07
41,48,89Nb,0.015,EC+B+,100,,-8.06e+04,2.36e+01,66,m,2
41,47,88Nb,0,EC+B+,100,,-7.61E+4,5.78E+1,14.5,m,0.09
41,47,88Nb,0+X,EC+B+,100,,-7.61E+4,5.78E+1,7.7,m,0.1
41,46,87Nb,0,EC+B+,100,,-7.38E+4,6.80,3.7,m,0.1
41,46,87Nb,0.0039,EC+B+,100,,-7.39e+04,6.80e+00,2.6,m,0.1
41,45,86Nb,0,EC+B+,100,,-6.91E+4,5.49,88,s,1
41,49,90Nb,0,EC+B+,100,,-8.26E+4,3.31,14.6,h,0.05
41,49,90Nb,0.12467,IT,100,,-8.25e+04,3.32e+00,18.91,s,0.05
41,40,81Nb,0,EC+B+,,,-4.63E+4,4.00E+2,40,ns,<
41,40,81Nb,0,ECP,,,-4.63E+4,4.00E+2,40,ns,<
41,40,81Nb,0,P,,,-4.63E+4,4.00E+2,40,ns,<
41,44,85Nb,0,EC+B+,100,,-6.62E+4,4.09,20.5,s,1.2
41,44,85Nb,0+X,EC+B+,,,-6.62E+4,4.09,3.3,s,0.9
41,44,85Nb,0+X,IT,,,-6.62E+4,4.09,3.3,s,0.9
41,43,84Nb,0,EC+B+,100,,-6.11E+4,4.01E-1,9.8,s,0.9
41,43,84Nb,0,ECP,,,-6.11E+4,4.01E-1,9.8,s,0.9
41,42,83Nb,0,EC+B+,100,,-5.76E+4,1.62E+2,3.9,s,0.2
41,42,83Nb,0,ECP,,,-5.76E+4,1.62E+2,3.9,s,0.2
41,41,82Nb,0,EC+B+,100,,-5.18E+4,3.00E+2,50,ms,3
41,41,82Nb,0,ECP,,,-5.18E+4,3.00E+2,50,ms,3
42,70,112Mo,0,B-,100,,-5.74E+4,2.00E+2,125,ms,5
42,70,112Mo,0,B-N,,,-5.74E+4,2.00E+2,125,ms,5
42,75,117Mo,0,B-,100,,-3.56E+4,5.00E+2,22,ms,5
42,75,117Mo,0,B-N,,,-3.56E+4,5.00E+2,22,ms,5
42,75,117Mo,0,B-2N,,,-3.56E+4,5.00E+2,22,ms,5
42,76,118Mo,0,B-,100,,-3.23E+4,5.00E+2,19,ms,+7-4
42,76,118Mo,0,B-N,,,-3.23E+4,5.00E+2,19,ms,+7-4
42,76,118Mo,0,B-2N,,,-3.23E+4,5.00E+2,19,ms,+7-4
42,77,119Mo,0,B-,100,,-2.65E+4,3.00E+2,,,
42,77,119Mo,0,B-N,,,-2.65E+4,3.00E+2,,,
42,77,119Mo,0,B-2N,,,-2.65E+4,3.00E+2,,,
42,71,113Mo,0,B-,100,,-5.26E+4,3.00E+2,80,ms,2
42,71,113Mo,0,B-N,,,-5.26E+4,3.00E+2,80,ms,2
42,72,114Mo,0,B-,100,,-4.96E+4,3.00E+2,58,ms,2
42,72,114Mo,0,B-N,,,-4.96E+4,3.00E+2,58,ms,2
42,73,115Mo,0,B-,100,,-4.45E+4,4.00E+2,45.6,ms,2.0
42,73,115Mo,0,B-N,,,-4.45E+4,4.00E+2,45.6,ms,2.0
42,73,115Mo,0,B-2N,,,-4.45E+4,4.00E+2,45.6,ms,2.0
42,74,116Mo,0,B-,100,,-4.12E+4,5.00E+2,32,ms,4
42,74,116Mo,0,B-N,,,-4.12E+4,5.00E+2,32,ms,4
42,74,116Mo,0,B-2N,,,-4.12E+4,5.00E+2,32,ms,4
42,68,110Mo,0,B-,100,,-6.45E+4,2.42E+1,287,ms,10
42,68,110Mo,0,B-N,2,0.7,-6.45E+4,2.42E+1,287,ms,10
42,69,111Mo,0,B-,100,,-5.99E+4,1.25E+1,186,ms,9
42,69,111Mo,0,B-N,12,,-5.99E+4,1.25E+1,186,ms,9
42,69,111Mo,0+X,B-,100,,-5.99E+4,1.25E+1,&asymp;200,ms,
42,69,111Mo,0+X,B-N,,,-5.99E+4,1.25E+1,&asymp;200,ms,
42,64,106Mo,0,B-,100,,-7.61E+4,9.13,8.73,s,0.12
42,65,107Mo,0,B-,100,,-7.25E+4,9.22,3.5,s,0.5
42,66,108Mo,0,B-,100,,-7.07E+4,9.22,1.106,s,0.01
42,67,109Mo,0,B-,100,,-6.66E+4,1.11E+1,700,ms,14
42,67,109Mo,0,B-N,1.3,0.6,-6.66E+4,1.11E+1,700,ms,14
42,60,102Mo,0,B-,100,,-8.35E+4,8.30,11.3,m,0.2
42,61,103Mo,0,B-,100,,-8.09E+4,9.22,67.5,s,1.5
42,62,104Mo,0,B-,100,,-8.03E+4,8.91,59.4,s,1.1
42,63,105Mo,0,B-,100,,-7.73E+4,9.05,36.3,s,0.8
42,57,99Mo,0,B-,100,,-8.59E+4,2.29E-1,65.936,h,0.009
42,58,100Mo,0,2B-,100,,-8.61E+4,3.01E-1,7.07e+18,y,1.59e+17-1.49e+17
42,59,101Mo,0,B-,100,,-8.35E+4,3.08E-1,14.61,m,0.03
42,51,93Mo,0,EC,100,,-8.68E+4,1.81E-1,4000,y,800
42,51,93Mo,2.42495,IT,99.88,0.01,-8.44e+04,1.81e-01,6.85,h,0.07
42,51,93Mo,2.42495,EC+B+,0.12,0.01,-8.44e+04,1.81e-01,6.85,h,0.07
42,46,88Mo,0,EC+B+,100,,-7.26E+4,3.81,8,m,0.2
42,47,89Mo,0,EC+B+,100,,-7.50E+4,3.91,2.04,m,0.11
42,47,89Mo,0.3875,IT,100,,-7.46e+04,3.91e+00,190,ms,15
42,48,90Mo,0,EC+B+,100,,-8.01E+4,3.46,5.56,h,0.09
42,49,91Mo,0,EC+B+,100,,-8.22E+4,6.23,15.49,m,0.01
42,49,91Mo,0.65301,EC+B+,50,1.6,-8.16e+04,6.24e+00,65,s,0.7
42,49,91Mo,0.65301,IT,50,1.6,-8.16e+04,6.24e+00,65,s,0.7
42,42,84Mo,0,EC+B+,100,,-5.41E+4,2.98E+2,2.3,s,0.4
42,42,84Mo,0,ECP,,,-5.41E+4,2.98E+2,2.3,s,0.4
42,43,85Mo,0,EC+B+,100,,-5.75E+4,1.58E+1,3.2,s,0.2
42,43,85Mo,0,ECP,0.14,,-5.75E+4,1.58E+1,3.2,s,0.2
42,44,86Mo,0,EC+B+,100,,-6.41E+4,2.93,19.1,s,0.3
42,45,87Mo,0,EC+B+,100,,-6.68E+4,2.85,14.1,s,0.3
42,45,87Mo,0,ECP,15,8,-6.68E+4,2.85,14.1,s,0.3
42,45,87Mo,0.31,EC+B+,,,-6.66e+04,2.86e+00,,,
42,45,87Mo,0.31,ECP,,,-6.66e+04,2.86e+00,,,
42,40,82Mo,0,EC+B+,100,,-4.03E+4,4.00E+2,,,
42,40,82Mo,0,ECP,,,-4.03E+4,4.00E+2,,,
42,41,83Mo,0,EC+B+,100,,-4.63E+4,4.01E+2,6,ms,+30-3
42,41,83Mo,0,ECP,,,-4.63E+4,4.01E+2,6,ms,+30-3
42,39,81Mo,0,EC+B+,,,-3.14E+4,5.00E+2,,,
42,39,81Mo,0,ECP,,,-3.14E+4,5.00E+2,,,
43,58,101Tc,0,B-,100,,-8.63E+4,2.40E+1,14.123,m,0.091
43,59,102Tc,0,B-,100,,-8.45E+4,9.16,5.28,s,0.15
43,59,102Tc,0+X,B-,100,,-8.45E+4,9.16,4.35,m,0.07
43,59,102Tc,0+X,IT,,,-8.45E+4,9.16,4.35,m,0.07
43,54,97Tc,0,EC,100,,-8.72E+4,4.11,4.21e+06,y,1.60e+05
43,54,97Tc,0.09656999999999999,IT,96.06,0.18,-8.71e+04,4.12e+00,91,d,0.6
43,54,97Tc,0.09656999999999999,EC,3.94,0.18,-8.71e+04,4.12e+00,91,d,0.6
43,55,98Tc,0,B-,100,,-8.64E+4,3.38,4.20e+06,y,3.00e+05
43,56,99Tc,0,B-,100,,-8.73E+4,9.08E-1,2.11e+05,y,1.20e+03
43,56,99Tc,0.14268360000000002,IT,99.9963,0.0006,-8.72e+04,9.08e-01,6.0073,h,0.0007
43,56,99Tc,0.14268360000000002,B-,0.0037,0.0006,-8.72e+04,9.08e-01,6.0073,h,0.0007
43,57,100Tc,0,B-,99.9974,0.0004,-8.60E+4,1.35,15.65,s,0.12
43,57,100Tc,0,EC,0.0026,0.0004,-8.60E+4,1.35,15.65,s,0.12
43,50,93Tc,0,EC+B+,100,,-8.36E+4,1.01,2.78,h,0.05
43,50,93Tc,0.39183999999999997,IT,77.4,0.6,-8.32e+04,1.01e+00,43.4,m,0.6
43,50,93Tc,0.39183999999999997,EC+B+,22.6,0.6,-8.32e+04,1.01e+00,43.4,m,0.6
43,51,94Tc,0,EC+B+,100,,-8.41E+4,4.07,293,m,1
43,51,94Tc,0.076,EC+B+,100,,-8.41e+04,4.07e+00,51,m,0.7
43,51,94Tc,0.076,IT,0.18,,-8.41e+04,4.07e+00,51,m,0.7
43,52,95Tc,0,EC+B+,100,,-8.60E+4,5.08,19.258,h,0.026
43,52,95Tc,0.03891,EC+B+,96.12,0.32,-8.60e+04,5.08e+00,61.94,d,0.07
43,52,95Tc,0.03891,IT,3.88,0.32,-8.60e+04,5.08e+00,61.94,d,0.07
43,53,96Tc,0,EC+B+,100,,-8.58E+4,5.14,4.27,d,0.05
43,53,96Tc,0.03423,IT,95.9,,-8.58e+04,5.15e+00,51.6,m,0.9
43,53,96Tc,0.03423,EC+B+,4.1,,-8.58e+04,5.15e+00,51.6,m,0.9
43,47,90Tc,0,EC+B+,100,,-7.07E+4,1.02,49.2,s,0.4
43,47,90Tc,0.1441,EC+B+,100,,-7.06e+04,1.02e+00,8.7,s,0.2
43,48,91Tc,0,EC+B+,100,,-7.59E+4,2.36,3.14,m,0.02
43,48,91Tc,0.1393,EC+B+,100,,-7.58e+04,2.36e+00,3.3,m,0.1
43,49,92Tc,0,EC+B+,100,,-7.89E+4,3.10,4.23,m,0.15
43,43,86Tc,0,EC+B+,100,,-5.15E+4,3.00E+2,55,ms,7
43,43,86Tc,0,ECP,,,-5.15E+4,3.00E+2,55,ms,7
43,44,87Tc,0,EC+B+,100,,-5.76E+4,4.19,2.1,s,0.2
43,44,87Tc,0,ECP,0.7,,-5.76E+4,4.19,2.1,s,0.2
43,45,88Tc,0,EC+B+,100,,-6.16E+4,4.09,6.4,s,0.8
43,45,88Tc,0,ECP,,,-6.16E+4,4.09,6.4,s,0.8
43,45,88Tc,0.0704,EC+B+,100,,-6.16e+04,4.10e+00,5.8,s,0.2
43,45,88Tc,0.0704,ECP,,,-6.16e+04,4.10e+00,5.8,s,0.2
43,46,89Tc,0,EC+B+,100,,-6.73E+4,3.81,12.8,s,0.9
43,46,89Tc,0.0626,EC+B+,100,,-6.73e+04,3.82e+00,12.9,s,0.8
43,42,85Tc,0,P,,,-4.58E+4,4.00E+2,100,ns,<
43,70,113Tc,0,B-,100,,-6.28E+4,3.35,152,ms,8
43,70,113Tc,0,B-N,2.1,0.3,-6.28E+4,3.35,152,ms,8
43,71,114Tc,0+X,B-,100,,-5.86E+4,4.33E+2,118,ms,8
43,71,114Tc,0+X,B-N,1.3,0.4,-5.86E+4,4.33E+2,118,ms,8
43,71,114Tc,0+X,B-,100,,-5.86E+4,4.33E+2,90,ms,20
43,71,114Tc,0+X,B-N,1.3,0.4,-5.86E+4,4.33E+2,90,ms,20
43,76,119Tc,0,B-,100,,-4.01E+4,5.00E+2,22,ms,3
43,76,119Tc,0,B-N,,,-4.01E+4,5.00E+2,22,ms,3
43,76,119Tc,0,B-2N,,,-4.01E+4,5.00E+2,22,ms,3
43,77,120Tc,0,B-,100,,-3.50E+4,5.00E+2,21,ms,5
43,77,120Tc,0,B-N,,,-3.50E+4,5.00E+2,21,ms,5
43,77,120Tc,0,B-2N,,,-3.50E+4,5.00E+2,21,ms,5
43,78,121Tc,0,B-,100,,-3.15E+4,5.00E+2,22,ms,6
43,78,121Tc,0,B-N,,,-3.15E+4,5.00E+2,22,ms,6
43,78,121Tc,0,B-2N,,,-3.15E+4,5.00E+2,22,ms,6
43,79,122Tc,0,B-,100,,-2.63E+4,3.00E+2,,,
43,79,122Tc,0,B-N,,,-2.63E+4,3.00E+2,,,
43,79,122Tc,0,B-2N,,,-2.63E+4,3.00E+2,,,
43,72,115Tc,0,B-,100,,-5.57E+4,1.96E+2,78,ms,2
43,72,115Tc,0,B-N,19,5,-5.57E+4,1.96E+2,78,ms,2
43,73,116Tc,0,B-,100,,-5.12E+4,2.98E+2,57,ms,3
43,73,116Tc,0,B-N,17,7,-5.12E+4,2.98E+2,57,ms,3
43,73,116Tc,0,B-2N,,,-5.12E+4,2.98E+2,57,ms,3
43,74,117Tc,0,B-,100,,-4.81E+4,4.00E+2,44.5,ms,3.0
43,74,117Tc,0,B-N,,,-4.81E+4,4.00E+2,44.5,ms,3.0
43,74,117Tc,0,B-2N,,,-4.81E+4,4.00E+2,44.5,ms,3.0
43,75,118Tc,0,B-,100,,-4.32E+4,4.00E+2,30,ms,4
43,75,118Tc,0,B-N,,,-4.32E+4,4.00E+2,30,ms,4
43,75,118Tc,0,B-2N,,,-4.32E+4,4.00E+2,30,ms,4
43,69,112Tc,0,B-,100,,-6.52E+4,5.51,323,ms,6
43,69,112Tc,0,B-N,1.5,0.2,-6.52E+4,5.51,323,ms,6
43,60,103Tc,0,B-,100,,-8.46E+4,9.81,54.2,s,0.8
43,65,108Tc,0,B-,100,,-7.59E+4,8.76,5.15,s,0.07
